"German Word","Article (der/die/das)","Part of Speech","English Translation","German Example Sentence","English Example Sentence","Category","Difficulty"
"Guten Morgen","","phrase","Good morning","Guten Morgen! Wie geht es Ihnen?","Good morning! How are you?","Greetings & Phrases","A1.1"
"Guten Tag","","phrase","Good day / Hello","Guten Tag, Herr Müller!","Good day, Mr Müller!","Greetings & Phrases","A1.1"
"Guten Abend","","phrase","Good evening","Guten Abend! Willkommen!","Good evening! Welcome!","Greetings & Phrases","A1.1"
"Gute Nacht","","phrase","Good night","Gute Nacht! Schlaf gut!","Good night! Sleep well!","Greetings & Phrases","A1.1"
"Hallo","","phrase","Hello / Hi","Hallo! Wie heißt du?","Hello! What's your name?","Greetings & Phrases","A1.1"
"Tschüss","","phrase","Bye / Goodbye","Tschüss! Bis morgen!","Bye! See you tomorrow!","Greetings & Phrases","A1.1"
"Auf Wiedersehen","","phrase","Goodbye (formal)","Auf Wiedersehen, Frau Schmidt!","Goodbye, Mrs Schmidt!","Greetings & Phrases","A1.1"
"Auf Wiederhören","","phrase","Goodbye (on phone)","Auf Wiederhören! Ich rufe morgen an.","Goodbye! I'll call tomorrow.","Greetings & Phrases","A1.3"
"Bitte","","phrase","Please / You're welcome","Kommen Sie bitte herein.","Please come in.","Greetings & Phrases","A1.1"
"Danke","","phrase","Thank you","Danke für Ihre Hilfe!","Thank you for your help!","Greetings & Phrases","A1.1"
"Danke schön","","phrase","Thank you very much","Danke schön! Das ist sehr nett.","Thank you very much! That is very kind.","Greetings & Phrases","A1.1"
"Bitte schön","","phrase","Here you are / You're welcome","Bitte schön! Das ist für Sie.","Here you are! This is for you.","Greetings & Phrases","A1.1"
"Entschuldigung","","phrase","Excuse me / Sorry","Entschuldigung, wo ist der Bahnhof?","Excuse me, where is the train station?","Greetings & Phrases","A1.1"
"Es tut mir leid","","phrase","I'm sorry","Es tut mir leid, ich habe keine Zeit.","I'm sorry, I don't have time.","Greetings & Phrases","A1.1"
"Guten Appetit","","phrase","Enjoy your meal","Guten Appetit! Das Essen schmeckt gut.","Enjoy your meal! The food tastes good.","Greetings & Phrases","A1.1"
